slug,name,brand,description,category,subcategory,base_price,material,fit,tags,gender,primary_image_url,image_gallery,active
ff-arctic-baselayer,Arctic Merino Base Layer,FitFinder Alpine,Fine-knit 100% merino wool base layer that regulates body temperature in freezing conditions — naturally odour-resistant and itch-free next to skin.,Apparel,Tops,79.99,100% merino wool,Slim,base layer;merino;thermal;cold weather;layering;odour-resistant,men's,/images/products/arctic-baselayer/front.jpg,"[{""url"":""/images/products/arctic-baselayer/front.jpg"",""altText"":""Arctic Base Layer front"",""primary"":true},{""url"":""/images/products/arctic-baselayer/back.jpg"",""altText"":""Arctic Base Layer back"",""primary"":false}]",true
ff-heatwave-ls,HeatWave Long Sleeve Run Top,FitFinder Athletics,Featherlight long-sleeve running top with flatlock seams and reflective chest logo — built for cold-morning road miles and winter track sessions.,Apparel,Tops,54.99,Recycled polyester,Athletic,long sleeve;running;reflective;lightweight;cold weather;winter running,men's,/images/products/heatwave-ls/front.jpg,"[{""url"":""/images/products/heatwave-ls/front.jpg"",""altText"":""HeatWave LS front"",""primary"":true},{""url"":""/images/products/heatwave-ls/back.jpg"",""altText"":""HeatWave LS back"",""primary"":false},{""url"":""/images/products/heatwave-ls/detail.jpg"",""altText"":""HeatWave reflective detail"",""primary"":false}]",true
ff-trailwind-jersey,TrailWind Running Jersey,FitFinder Athletics,Women's technical running jersey with three rear pockets and a half-zip neck — designed for race day and long training efforts in variable conditions.,Apparel,Tops,64.99,Nylon polyester blend,Athletic,running jersey;half-zip;race day;rear pockets;technical;women's running,women's,/images/products/trailwind-jersey/front.jpg,"[{""url"":""/images/products/trailwind-jersey/front.jpg"",""altText"":""TrailWind Jersey front"",""primary"":true},{""url"":""/images/products/trailwind-jersey/back.jpg"",""altText"":""TrailWind Jersey back pockets"",""primary"":false}]",true
ff-alpine-fleece-mid,Alpine Grid Fleece Mid-Layer,FitFinder Alpine,"Recycled grid-fleece mid-layer with stretch side panels and a zippered chest pocket — warm enough for alpine starts, packable enough to stash when you heat up.",Apparel,Tops,89.99,Recycled grid fleece,Regular,fleece;mid-layer;layering;alpine;packable;stretch,unisex,/images/products/alpine-fleece-mid/front.jpg,"[{""url"":""/images/products/alpine-fleece-mid/front.jpg"",""altText"":""Alpine Fleece front"",""primary"":true},{""url"":""/images/products/alpine-fleece-mid/back.jpg"",""altText"":""Alpine Fleece back"",""primary"":false}]",true
ff-cycle-aero-jersey,AeroPace Cycling Jersey,FitFinder Cycle,Race-cut aero cycling jersey with silicon gripper hem and three deep rear pockets — moisture-wicking Lycra keeps you cool on long road rides.,Apparel,Tops,99.99,Lycra polyester,Race fit,cycling jersey;road cycling;aero;race cut;rear pockets;wicking,men's,/images/products/cycle-aero-jersey/front.jpg,"[{""url"":""/images/products/cycle-aero-jersey/front.jpg"",""altText"":""AeroPace Jersey front"",""primary"":true},{""url"":""/images/products/cycle-aero-jersey/back.jpg"",""altText"":""AeroPace Jersey rear pockets"",""primary"":false}]",true
ff-studio-flow-top,Studio Flow Crop Top,FitFinder Studio,Open-back crop top with a built-in shelf bra and four-way stretch fabric — moves with every pose from hot yoga to barre class.,Apparel,Tops,44.99,Nylon spandex blend,Fitted,crop top;yoga;built-in bra;open back;studio;barre,women's,/images/products/studio-flow-top/front.jpg,"[{""url"":""/images/products/studio-flow-top/front.jpg"",""altText"":""Studio Flow Top front"",""primary"":true},{""url"":""/images/products/studio-flow-top/back.jpg"",""altText"":""Studio Flow Top open back"",""primary"":false}]",true
ff-solar-guard-ls,SolarGuard UPF 50+ Long Sleeve,FitFinder Athletics,UPF 50+ sun-protection long sleeve with thumbholes and lightweight wicking fabric — ideal for hot-weather trail running and beach days.,Apparel,Tops,49.99,Recycled polyester,Regular,UPF 50;sun protection;long sleeve;thumbholes;trail running;hot weather,unisex,/images/products/solar-guard-ls/front.jpg,"[{""url"":""/images/products/solar-guard-ls/front.jpg"",""altText"":""SolarGuard LS front"",""primary"":true},{""url"":""/images/products/solar-guard-ls/back.jpg"",""altText"":""SolarGuard LS back"",""primary"":false}]",true
ff-qzip-thermal,QuarterZip Thermal Pullover,FitFinder Essentials,Brushed-interior thermal quarter-zip with a high collar and magnetic zipper garage — the go-to cold-weather training layer.,Apparel,Tops,74.99,Polyester thermal knit,Regular,quarter-zip;thermal;cold weather;brushed interior;training;layering,men's,/images/products/qzip-thermal/front.jpg,"[{""url"":""/images/products/qzip-thermal/front.jpg"",""altText"":""QuarterZip Thermal front"",""primary"":true},{""url"":""/images/products/qzip-thermal/side.jpg"",""altText"":""QuarterZip Thermal side"",""primary"":false}]",true
ff-swim-rashguard-ls,AquaShield Long Sleeve Rash Guard,FitFinder Aquatics,UPF 50+ long-sleeve rash guard with flatlock seams and chlorine-resistant fabric — protects against sun and reef in open water or the pool.,Apparel,Tops,54.99,Chlorine-resistant lycra,Athletic,rash guard;UPF 50;swimming;surf;chlorine resistant;long sleeve;sun protection,unisex,/images/products/swim-rashguard-ls/front.jpg,"[{""url"":""/images/products/swim-rashguard-ls/front.jpg"",""altText"":""AquaShield Rash Guard front"",""primary"":true},{""url"":""/images/products/swim-rashguard-ls/back.jpg"",""altText"":""AquaShield Rash Guard back"",""primary"":false}]",true
ff-comp-ls-top,CompressX Long Sleeve Top,FitFinder Athletics,Graduated compression long-sleeve top that supports muscles during intense training and speeds recovery — seamless construction for all-day comfort.,Apparel,Tops,64.99,Nylon elastane,Compression,compression;long sleeve;muscle support;recovery;seamless;training,men's,/images/products/comp-ls-top/front.jpg,"[{""url"":""/images/products/comp-ls-top/front.jpg"",""altText"":""CompressX LS Top front"",""primary"":true},{""url"":""/images/products/comp-ls-top/side.jpg"",""altText"":""CompressX LS Top side"",""primary"":false}]",true
