slug,name,brand,description,category,subcategory,base_price,material,fit,tags,gender,primary_image_url,image_gallery,active
ff-cloudrun-tee,CloudRun Performance Tee,FitFinder Athletics,Ultra-light moisture-wicking running tee engineered for hot-weather training and daily miles.,Apparel,Tops,49.99,Recycled polyester,Regular,running;training;lightweight;moisture-wicking;breathable,unisex,/images/products/cloudrun-tee/front.jpg,"[{""url"":""/images/products/cloudrun-tee/front.jpg"",""altText"":""CloudRun tee front"",""primary"":true},{""url"":""/images/products/cloudrun-tee/back.jpg"",""altText"":""CloudRun tee back"",""primary"":false}]",true
ff-altitude-shell,Altitude Storm Shell,FitFinder Alpine,Seam-sealed waterproof shell with pit zips and helmet-compatible hood for rain-soaked trail sessions.,Apparel,Outerwear,229.99,Nylon ripstop,Athletic,waterproof;shell;jacket;trail;windproof;rain gear,unisex,/images/products/altitude-shell/front.jpg,"[{""url"":""/images/products/altitude-shell/front.jpg"",""altText"":""Altitude shell front"",""primary"":true},{""url"":""/images/products/altitude-shell/detail.jpg"",""altText"":""Altitude shell detail"",""primary"":false}]",true
ff-stride-fleece,Stride Fleece Jogger,FitFinder Athletics,"Brushed interior fleece jogger with tapered leg and zip pocket for warmups, travel, and recovery days.",Apparel,Bottoms,79.99,Cotton blend,Relaxed,joggers;fleece;athleisure;recovery;comfort,unisex,/images/products/stride-jogger/front.jpg,"[{""url"":""/images/products/stride-jogger/front.jpg"",""altText"":""Stride jogger front"",""primary"":true},{""url"":""/images/products/stride-jogger/side.jpg"",""altText"":""Stride jogger side"",""primary"":false}]",true
ff-velocity-tight,Velocity Compression Tight,FitFinder Studio,High-stretch compression tights designed for interval training and long tempo efforts.,Apparel,Bottoms,68.99,Nylon elastane,Compression,compression;tights;running;training;performance,women's,/images/products/velocity-tight/front.jpg,"[{""url"":""/images/products/velocity-tight/front.jpg"",""altText"":""Velocity tight front"",""primary"":true},{""url"":""/images/products/velocity-tight/back.jpg"",""altText"":""Velocity tight back"",""primary"":false}]",true
ff-midnight-hoodie,Midnight Recovery Hoodie,FitFinder Essentials,Heavyweight recovery hoodie with brushed lining and structured hood for post-workout comfort.,Apparel,Tops,89.99,Cotton fleece,Oversized,hoodie;recovery;cozy;streetwear;warm,unisex,/images/products/midnight-hoodie/front.jpg,"[{""url"":""/images/products/midnight-hoodie/front.jpg"",""altText"":""Midnight hoodie front"",""primary"":true},{""url"":""/images/products/midnight-hoodie/closeup.jpg"",""altText"":""Midnight hoodie closeup"",""primary"":false}]",true
ff-trailspark-shoe,TrailSpark Runner,FitFinder Footwear,All-terrain running shoe with adaptive grip lugs and responsive foam for mixed road-to-trail routes.,Footwear,Running Shoes,139.99,Engineered mesh,Neutral,trail shoes;running shoes;grip;responsive;cushioned,unisex,/images/products/trailspark/front.jpg,"[{""url"":""/images/products/trailspark/front.jpg"",""altText"":""TrailSpark shoe front"",""primary"":true},{""url"":""/images/products/trailspark/sole.jpg"",""altText"":""TrailSpark outsole"",""primary"":false}]",true
ff-liftforge-shoe,LiftForge Trainer,FitFinder Footwear,Stable low-drop cross-training shoe built for lifting sessions and high-intensity circuits.,Footwear,Training Shoes,124.99,Synthetic leather,Structured,cross-training;lifting shoes;gym;stable;low-drop,unisex,/images/products/liftforge/front.jpg,"[{""url"":""/images/products/liftforge/front.jpg"",""altText"":""LiftForge trainer front"",""primary"":true},{""url"":""/images/products/liftforge/side.jpg"",""altText"":""LiftForge trainer side"",""primary"":false}]",true
ff-airflow-cap,Airflow Reflective Cap,FitFinder Accessories,Breathable performance cap with reflective brim accents for early morning and late-night runs.,Accessories,Hats,34.99,Polyester,Adjustable,running cap;reflective;breathable;lightweight;night run,unisex,/images/products/airflow-cap/front.jpg,"[{""url"":""/images/products/airflow-cap/front.jpg"",""altText"":""Airflow cap front"",""primary"":true},{""url"":""/images/products/airflow-cap/brim.jpg"",""altText"":""Airflow cap brim detail"",""primary"":false}]",true
ff-solarpace-short,SolarPace 5" Running Short,FitFinder Athletics,Featherlight 5-inch running short with built-in liner and side zip pocket — engineered for hot-weather racing and tempo sessions.,Apparel,Shorts,54.99,Recycled polyester liner,Athletic,running shorts;5-inch;liner;lightweight;racing;tempo,men's,/images/products/solarpace-short/front.jpg,"[{""url"":""/images/products/solarpace-short/front.jpg"",""altText"":""SolarPace short front"",""primary"":true},{""url"":""/images/products/solarpace-short/back.jpg"",""altText"":""SolarPace short back"",""primary"":false},{""url"":""/images/products/solarpace-short/pocket.jpg"",""altText"":""SolarPace short zip pocket detail"",""primary"":false}]",true
ff-zenflow-legging,ZenFlow 7/8 Legging,FitFinder Studio,Four-way stretch 7/8 legging with high-rise waistband and hidden waistband pocket — moves with you from mat to street.,Apparel,Bottoms,74.99,Nylon elastane,Compression,leggings;yoga;high-rise;4-way stretch;studio;athleisure,women's,/images/products/zenflow-legging/front.jpg,"[{""url"":""/images/products/zenflow-legging/front.jpg"",""altText"":""ZenFlow legging front"",""primary"":true},{""url"":""/images/products/zenflow-legging/back.jpg"",""altText"":""ZenFlow legging back"",""primary"":false},{""url"":""/images/products/zenflow-legging/detail.jpg"",""altText"":""ZenFlow waistband pocket detail"",""primary"":false}]",true
ff-ironvault-short,IronVault Lifting Short,FitFinder Strength,"Reinforced 7-inch squat short with gusset crotch, stretch waistband, and wicking fabric — built to survive the platform.",Apparel,Shorts,64.99,Cotton elastane blend,Relaxed,lifting shorts;squat;gym;strength;wicking;gusset,men's,/images/products/ironvault-short/front.jpg,"[{""url"":""/images/products/ironvault-short/front.jpg"",""altText"":""IronVault short front"",""primary"":true},{""url"":""/images/products/ironvault-short/side.jpg"",""altText"":""IronVault short side"",""primary"":false}]",true
